Order,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1001,527131110,120.0,RL,6264,Pave,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,5.0,1997,1997,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,656.0,Unf,0.0,1008.0,1664.0,GasA,Ex,Y,SBrkr,1682.0,0.0,0,1682,1.0,0.0,1,1,1.0,1,Gd,6,Min1,1.0,TA,Attchd,1997,Fin,2.0,528.0,TA,TA,Y,0,0.0,0,0,0,0,0,7,2008,WD,Normal,247900.0
1002,527140090,120.0,RL,5395,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5.0,1993,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,733.0,Unf,0.0,604.0,1337.0,GasA,Gd,Y,SBrkr,1337.0,0.0,0,1337,1.0,0.0,2,0,2.0,1,Gd,5,Typ,1.0,TA,Attchd,1993,RFn,2.0,462.0,TA,TA,Y,96,0.0,0,0,0,0,0,10,2008,WD,Normal,180000.0
1003,527145090,120.0,RL,5070,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5.0,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,0.0,1280.0,1280.0,GasA,Ex,Y,SBrkr,1280.0,0.0,0,1280,0.0,0.0,2,0,2.0,1,Gd,5,Typ,0.0,Has No Fireplace,Attchd,1992,RFn,2.0,506.0,TA,TA,Y,0,82.0,0,0,0,0,0,8,2008,WD,Normal,180000.0
1004,527161010,60.0,RL,10839,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5.0,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,926.0,926.0,GasA,Ex,Y,SBrkr,926.0,678.0,0,1604,0.0,0.0,2,1,3.0,1,TA,7,Typ,1.0,TA,Attchd,1997,Fin,2.0,470.0,TA,TA,Y,0,36.0,0,0,0,0,0,7,2008,WD,Normal,181000.0
1005,527162180,60.0,RL,11184,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5.0,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,932.0,932.0,GasA,Gd,Y,SBrkr,932.0,701.0,0,1633,0.0,0.0,2,1,3.0,1,TA,7,Typ,1.0,TA,Attchd,1998,Fin,2.0,460.0,TA,TA,Y,0,39.0,0,0,0,0,0,4,2008,WD,Family,183000.0
1006,527163100,60.0,RL,8000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5.0,1995,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,219.0,Unf,0.0,554.0,773.0,GasA,Gd,Y,SBrkr,773.0,885.0,0,1658,1.0,0.0,2,1,3.0,1,TA,8,Typ,1.0,TA,Attchd,1995,Fin,2.0,431.0,TA,TA,Y,224,84.0,0,0,0,0,0,6,2008,WD,Normal,188000.0
1007,527164120,60.0,RL,10832,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5.0,1994,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,712.0,712.0,GasA,Ex,Y,SBrkr,1086.0,809.0,0,1895,0.0,0.0,2,1,3.0,1,Gd,7,Typ,1.0,TA,Attchd,1994,Fin,2.0,409.0,TA,TA,Y,143,46.0,0,0,0,0,0,10,2008,WD,Normal,194500.0
1008,527165010,60.0,RL,14067,Pave,Reg,Lvl,AllPub,FR3,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5.0,1991,1991,Gable,CompShg,HdBoard,HdBoard,BrkFace,194.0,TA,TA,PConc,Gd,TA,No,ALQ,504.0,Unf,0.0,332.0,836.0,GasA,Gd,Y,SBrkr,851.0,858.0,0,1709,1.0,0.0,2,1,3.0,1,Gd,7,Typ,0.0,Has No Fireplace,Attchd,1991,Fin,2.0,416.0,TA,TA,Y,0,40.0,0,0,0,0,0,9,2008,WD,Normal,185000.0
1009,527183030,120.0,RL,4671,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5.0,1988,1989,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,767.0,Unf,0.0,461.0,1228.0,GasA,Gd,Y,SBrkr,1228.0,0.0,0,1228,1.0,0.0,2,0,2.0,1,Gd,5,Typ,1.0,Gd,Attchd,1988,Fin,2.0,472.0,TA,TA,Y,168,120.0,0,0,0,0,0,10,2008,WD,Normal,189000.0
1010,527183060,120.0,RL,5950,Pave,IR1,HLS,AllPub,Inside,Mod,StoneBr,Norm,Norm,TwnhsE,1Story,8,5.0,1989,1989,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,319.0,Unf,0.0,1018.0,1337.0,GasA,Gd,Y,SBrkr,1337.0,0.0,0,1337,1.0,0.0,2,0,2.0,1,Gd,5,Typ,1.0,TA,Attchd,1989,RFn,2.0,462.0,TA,TA,Y,0,73.0,0,0,0,0,0,4,2008,WD,Normal,188500.0
